,tweets_pronouns
121,"Me preocupa que hayan sacerdotes con zika, cuando en sus iglesias no hay mosquitos."
122,Prefiero que me piquen mosquitos llenos de zika dengue chikungunya y nyong njkuywyr no se que antes de seguir escuchando Solito y Lean On
123,“En nuestro país el mosquito del zika aún no resiste a insecticidas” https://t.co/D0R6JR7qli
124,I liked a @YouTube video from @ecuruiso https://t.co/ehdmWl31su Trampa para capturar El Mosquito del ZIKA
125,"Con todos los mosquitos que me picaron este finde seguro ya tengo dengue, zika y de paso chikungunya"
126,"@JTarreFutbol Ahora que nombras el mosquito, cuidadín con el Zika. Que a lo mejor es morado y te pica a ti antes que a mi 😂😂😂 xD"
127,'Gentes andan con sapos encima para evitar picaduras de mosquitos'. Prefiero que me agarre Dengue y Zika juntos.
128,"Entre todos los mosquitos que me picaron anoche, deben estar el dengue y zika, chau vida"
129,"Por favor recen para q los 20 mosquitos q me picaron anoche,no sean portadores de zica ni dengue.Gracias"
130,Con este temita del denge y el zika cada ves que me pica un mosquito o algún bicho entró en pánico..Posta
131,Acabo de matar un mosquito y me acordé de ayer..'acabo de matar un dengue/Zika' @Ceci_Feil  @BrenSteinberg @DiegoBanegas11 se pasa esta piba
132,Anoche me picó un mosquito y no me pude dormir pensando que tenía #zika. #Paranoia #Hipocondria
133,Esos pinches mosquitos del Zika pican mas veces que yo  -lamentable
134,Me picaron mil mosquitos entre esos debe estar el dengue zika y chikunfqbd
135,"Todos los mosquitos para mi son Dengue, Chikungunya o Zika. https://t.co/zL4CFoyPAD"
136,"Estoy sentado con la compu y aparece mi novia de atrás con una vela para los mosquitos rezando un padre nuestro (?), el efecto zika (?)"
137,"Sapos contra los mosquitos del Dengue y el Zika, ya esta, me compre el taparrabos y me vuelvo a la caverna a cazar dinosaurios"
138,#SeMeHaceQue ese quimico me matará antes a mi que a los mosquitos #zika #fake #imintoxicated 😩😷 @Danniel_Chinno https://t.co/ChC0ZoQX2C
139,@Juliaenlaonda a ver lo que tarda mi abuela en transformar el ZIKA (virus transmitido por mosquitos) en FLIKA (spray para matar mosquitos).
140,me pica un mosquito y ya flasheo que es el dengue o el zika
141,"Mi hermanita dice 'hay un mosquito en la pieza,y nose si es el zika' esta traumada 😂"
142,"Voy a mandar un DM a Bill Gates para q me cree un  mosquito genéticamente alterado, como el del Zika, para combatir Ks"
143,Medidas para protegerse del zika #TANoticias I https://t.co/t7C5nGMl1a https://t.co/oqAthN48E2
144,Con este temita del dengue y el zika cada vez que me pica un mosquito o algún bicho entro en pánico la parca y la gorra me quieren matar
145,Salí un segundo y cuando entro me veo SEIS picaduras de mosquito sale ese tal zika con ellassss
146,Salí al patio descalza 2 minutos y me picaron 84 mosquitos ojala alguno sea el zika
147,El frío sólo es una estrategía de nuestro amado agobierno para alejar al mosquito del zika
148,Con este temita del dengue y el zika cada vez que me pica un mosquito o algún bicho entro en pánico.
149,"Se me murio el sapo, se intoxicó porque se morfó un mosquito con zika"
150,"Me aburrieron con el dengue, el zika, el mosquito y bla bla bla. Advierten y a la gente le chupa 3 pitos."
151,"Están vendiendo sapos para que se coman al 'zika'.  Em, NO. Prefiero que me maten los mosquitos antes de minar mi casa de batracios. Real."
152,"Quiero ir a Buenos Aires para quejarme del calor y los mosquitos, ya veo que me pica alguno con zika o dengue JAJAJA. Suerte de mierda"
153,Con este temita del dengue y el zika cada vez que me pica un mosquito o algún bicho entro en pánico la parca y la gorra me quieren matar ♫♪♫
154,Agostina Qué pasa joselin shoselin  Que mosquito te picó  Agostina El que me trajo el zika
155,"Flasheo que cada mosquito que me pasa por al lado o incluso me pica, es el Dengue o el Zika, creo q estoy un poquito perseguido TRANQUI"
156,'Mataría mosquitos de Zika por ti' me parece un excelente piropo.
157,"Ahora la nueva que venden SAPOS para protegerte del dengue y zika, vengan a mi casa porfi y llevense todos gratis!!!!!!"
158,Con este temita del dengue y él zika cada vez que me pica un mosquito o algún bicho entro en pánico😂
159,Me picaron como 5 mosquitos y mi mente solo piensa en Zika (o como se escriba)
160,"@Mafalda_Riveros @CapitanAmica Me pareció escuchar un mosquito zumbando, ojalá no venga con el Zika."
161,"//Con esto del Zika, y el montón de mosquitos que me persiguen creo que terminaré escribiendo bajo 3 capas de tierra, sábanas,y ventiladores"
162,#AlbertResponde que digo yo que tus amigos son así de serie o es que le ha picado el mosquito del Zica?? https://t.co/5QM5tZ0Nmi
