,tweets_VBN
59,É a primeira vez que os mosquitos portadores da zika estão presentes na zona continental dos EUA. https://t.co/DsNLY6d2Mb
28,Vivendo a época dos Mosquitos: chikungunya e dengue e zica. E do PT :Governo Câmara e Senado. Ver sintomas.
234,"Explicado a preocupação da Hope Solo com a zika no Brasil. Com aquela mata Atlântica no 'suvaco das coxas',os mosquitos vão procurar a selva"
112,Retweeted Radio O Proletário (@RadioProletrio):  E a zika? Onde se enquadra? Mosquitos Geneticamente Modificados... https://t.co/SFoV2WyDnz
227,"Se a mosquita é a mulher do mosquito, o Zico é o marido da Zika."
40,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
26,PAULADA  THE NEWS: Cinco dicas para se proteger do vírus zica.A relaç... https://t.co/s2SueOXjKM
158,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
197,"Com a Wanheda no Brasil fico até tranquila pq ela vai exterminar Dengue, Zika e Chikungunya O que é um mosquito pra quem matou geral né non?"
0,"Do Zika ao Aborto, como assim!!  “Combater o zika vírus tentando apenas erradicar o mosquito não funcionará”  https://t.co/IvnlEl3lou"
62,Começo a achar que a melhor forma de se proteger do zika e botar sapos em cada canto da casa
72,Retweeted Olhar Digital (@olhardigital):  Painel simula calor humano para atrair e matar mosquitos do vírus zika:... https://t.co/ShQST3jP4u
142,Cover up? Zika Mosquitoes Same as GM Mosquitoes ... - https://t.co/aKeGblTT0m - #ArmageddonScenarios https://t.co/73ZzHfeY2Q
163,abro a janela p ventar entra chuva mosquito zika lula dilma testemunha de jeova tris teza al quaeda paz amor drogas mas vento que é bom nada
107,"É a microcefalia acomete crianças cujas as mães contraíram o Zika Vírus, transmitido pelo Mosquito da Dengue, veja que tragédia é isso."
