,tweets_pronouns
2247,Eu qria ser um mosquito só pra ser zika.
1387,"Nesta quinta, nossos funcionários receberam orientações e medidas de prevenção ao mosquito transmissor da dengue, zika e chikungunya."
4076,"É só eu viajar pra rio das ostras que meu corpo me aparece cheio de bolinha pqp, mosquito zika filho da puta do demônio, vsf vai pro inferno"
2159,"'Encontram o zika virus num mosquito comum' Meu Deus do céu, daqui uns dia essa bosta vai ta em tudo que é tipo de mosquito, vespa"
1644,Morro rindo quando falam do 'mosquito zika' KKKKK vc não tem ideia do que passa na minha mente
2845,"quando eu vejo um mosquito, eu vou até o inferno mas eu mato...Vai que é dengue, zika, chikungunya! 😴😂"
2534,"Campanha nacional contra o mosquito transmissor da Dengue, Zika e  Chikungunya, se fizermos nossa parte, acabaremos com essa epidemia q"
4196,um mosquito me mordeu sera que foi a zika??? eunao quero morre
5706,Triste saber q é mais facil eu pegar zika por causa d um mosquito do q por saliva.
2213,"É muito mosquito meu Deus, maior medo de ficar com Zika novamente😰😟😏👌"
5883,um mosquito me pica já acho que zika
4962,"minha tia dizendo: 'acho que algum mosquito me mordeu, porque eu to com uma zika neurótica'"
1827,Minh mãe e mais zica que o mosquito mano 😂😂😂😎
5703,GENTE OS MOSQUITO ZIKA VÍRUS DENGUE CHIKUNGUNYA INVADIRAM O SITE DA UFRGS (sério eles tão voando desorientado pelo site parece eu)
6015,Podemos analisar duas coisas com meu último rt: Aedes é mosquito azarado e só o Brasil pra chamar uma doença de 'Zika Virus'
4243,"Força em mosquito aqui no meu quarto, tomara que não seja o do zika vírus"
