,tweets_VBG
7505,Controlling mosquitoes will protect against Zika virus #FortWayne https://t.co/VP2wEKYZ96
5917,"Spraying by air for mosquitoes, Florida steps up Zika fight  https://t.co/T2kDf4Thnj"
2412,"Spraying #Zika. Risk, benefits, uncertainty and trust. https://t.co/aQq7Q1lh35"
2551,Weaponizing Aedes Aegypti-The Zika Mosquito https://t.co/7eRlhdFAJk
4260,Eradicating Zika-spreading mosquito is proving difficult https://t.co/gYtGH9Gffs via @JCPress
2621,Preventing Zika's Spread Without Chemicals - CBS Local https://t.co/f0Bc5gedpB #zikavirus #zikv
1812,Preventing spread zika virus in the philippines: https://t.co/p0GotOLabA via @YouTube
7403,Interesting #mosquito facts — 'The mosquitoes that changed history' from @CNN https://t.co/3UurEaoP1G #Zika
7136,Morning Break: Hillary Stinks Protest; What's Wrong With Science? NYC Zika Baby #Endocrinology https://t.co/syORtzy4PM
1691,Infecting Mosquitoes With Bacteria Could Help Stop Zika https://t.co/4dJh7KBShq https://t.co/wCsXwvzf2P
4234,Underreporting of #Zika is rife; researchers project epidemic's spread  https://t.co/2mxi5RZ2Wg
5699,Controlling Mosquitoes at Home | Zika virus https://t.co/FXFkGGzc8U via @nuzzel
8635,"Waging a mosquito war: UCI researcher would like to get rid of malaria, Zika and much more https://t.co/UU0VaNkSmn"
6824,"Breaking: New EPA Data Finds Mosquito Control Pesticide Dangers (To Kids, Cars and More!) https://t.co/Vdv0ekRbqe via @Health Nut News"
5560,Getting eaten alive by mosquitos 😭 #Zika
771,"'Nothing changes' in the steps they're taking to fight mosquitos/zika, says @Gimenez4Mayor. @nbc6 live at 4/5/6 https://t.co/LqzxYto2EK"
4947,Stopping Zika: Here come the mutant mosquitoes   https://t.co/oG2cX1B5bw
7469,Something must be done. WHO just declared the spread of Zika a global health emergency https://t.co/VhUkB833tv
3389,Packing up nothing but a years supply of zika bug spray and bikinis.   Destination: Puerto Rico.
4877,Sleeping w/the enemy. Husband just proposed this woman in PR be put in jail to protect her baby from Zika https://t.co/kbBQ4VIAXP
8197,"Eliminating mosquito breeding sites can help reduce risk of Zika, West Nile virus in Indiana - https://t.co/TB9JzTvcl4"
2876,'helping stop the spread of #Zika virus' 'full technical specifications freely available via Creative Commons' https://t.co/jZWFMEMgpS
1458,Fighting Zika: Which mosquito repellent to use https://t.co/h1PO3jrMla https://t.co/qS9ODhev3w
7868,Fighting #Zika with the UN's genetically modified mosquitoes https://t.co/RVaj2JiIFO via @business @virtualnomad
4072,Building a better mosquito trap: How a Microsoft research project could help track Zika’s spread | News Center https://t.co/rXAzPw93hE
6351,Stopping the spread of Zika https://t.co/d8HlidNIt1 The GOP side ... Not addressed: Congress' lack of funding 4 Zika😳😕 CYA?
2086,'avoiding pregnancy is not an absolute evil' MT @cnnhealth: Pope: contraceptives cld be used to slow spread of Zika https://t.co/JwZBoojdlc
4817,Squashing mosquitoes might be key to fighting Zika in the U.S. https://t.co/6xviFn8adn | https://t.co/uRE6CSAh3U https://t.co/szK8N8gk28
3021,Preventing Zika; Which Bug Sprays Are Safe for Pregnant Women? - The Atlantic https://t.co/g1HxWgF9pI
5003,Keeping Mosquitoes at Bay in the Age of Zika https://t.co/k7PuaTnNbK via @TheAtlantic
4911,Stopping Zika: The GMO mosquito that kills his own offspring
5258,Enlisting Mosquitoes to Fight Zika https://t.co/03dHLXSJjz
4304,Travelling to the Americas? Make sure to protect yourself against Zika virus https://t.co/aoZNjKE3B7 https://t.co/W1A7L5HTKW
4259,Eradicating Zika-spreading mosquito is proving difficult  https://t.co/H3PPHyOYbN https://t.co/CWSF1qldAM
1563,Fighting Zika: Which mosquito repellent to use https://t.co/vjtUFOJA4L
5703,"Warning to travelers: keep Zika out of Pa. mosquito population: So far, at least 24 residents came down with it,… https://t.co/GTG3vxX2Mb"
5716,"Spraying to kill mosquitoes in #SanJacinto that could transmit #ZikaVirus on Thursday. Be prepared, not scared. https://t.co/N3R2Y9ZL4X"
7527,"Fearing global spread WHO creates Zika response unit:  GENEVA, Switzerland – The World Health Organization sai... https://t.co/Wb7QBUdKU4"
2142,"Fighting Zika is about protecting pregnant women, it is time for Congress to pass requests for... https://t.co/laJHuz4IAq via @jca10c9"
1184,Preventing mosquito bites when you travel is the best way to avoid #Zika. No known cases in #AZ. https://t.co/PbXovkTiNK
2369,Breaking NEWS: 4 Cases of Mosquito-borne #ZikaVirus confirmed in #Miami-Dade and Broward Counties. https://t.co/aQd6Lw86Y2
6438,"Watching a Dr. segment on TV. While talking about Zika, he referenced all the other things mosquitoes carry including CHIKUNGUNYA. #memories"
4703,Halting the spread of Zika into the United States https://t.co/beXxRlYgcm
6139,"Thinking Mosquitos? In Colorado, It's West Nile, Not Zika - CBS Local https://t.co/15ndH1IbAt"
4615,Increasing Temperatures May Enlarge Europe's Window for Potential Zika Spread https://t.co/HXgO7qbSxX
3502,Breeding #GMO #mosquitoes for #Zika trial in #FlKeys being fed horse blood @DavidGoodhue https://t.co/4PKlbJNf4o
1213,"Setting Brazil to fail on a few international stages. #RioOlympics2016, huge project. #Zika spells deep health fear. https://t.co/MSsLDAyts7"
7776,Combating the spread of Zika https://t.co/Oopspx10yD
4700,Trying to avoid Zika at the Rio Olympics? Go with the military-grade repellent option: https://t.co/notCjCu4BU https://t.co/6MHgEqEAah
7939,Predicting the spread of the Zika virus https://t.co/ysUUMwsmcI #Health &amp; Medicine News -- ScienceDaily
7191,Breaking down the difference b/w West Nile &amp; Zika on @wis10 at 5 after mosquitoes in Shandon tested +  for West Nile https://t.co/bArEXFW87d
2180,Seeking Zika: Where and when will Zika-carrying mosquitoes strike next? | NSF - National Science Foundation https://t.co/J4dX8JGG6g
6003,'Spraying Begins in Miami to Combat the Zika Virus' by LIZETTE ALVAREZ and PAM BELLUCK via NYT https://t.co/qlKkP88pd8
186,"Amazing the CDC says that illegals can;t bring in he Zika virus, but Americans being bit by mosquitoes south... https://t.co/YjepyWnP31"
4896,Stopping Zika: Playing Darwin with mosquito DNA - CNN https://t.co/4D1E0Kfia2
7428,Examining Microbial Mosquito Control To Deal With Zika https://t.co/9Hvgz6fRoA #science | https://t.co/xWWlG9JpwM https://t.co/O6IkeuPJmk
2302,Adding on ANYTHING else to a #ZikaFundingBill is shameful. Don't say they voted against Zika funding. #noPACKEDbills https://t.co/tlAmrxz6Nm
2267,Interesting ànd creepy. 'Scientists to unleash millions of mosquitoes to have sex with their cousins and kill them' https://t.co/ZQ6Chvpprl
6021,"Spraying by air for mosquitoes, Florida steps up Zika fight"
7818,Releasing millions of GM mosquitoes 'could solve zika crisis' https://t.co/fg2igJwRpT
2722,Protecting Yourself from Zika Virus When Traveling https://t.co/neHUYmzdB5
5269,Planning summer vacation? Pack EPA-registered insect repellent &amp; prevent mosquito bites that can... https://t.co/PDI9NupQyk via @CDCgov
7973,"Diverting funds from Ebola to pay for Zika coverage is a short-sighted, bad idea: https://t.co/QPXFoeXOMm via @slate"
5465,Stopping Zika: Here come the mutant mosquitoes @CNNI https://t.co/IOZ93Sdymd
7659,Fixing broken screens is an easy way to keep your home mosquito-free. Mosquito bites can transmit #dengue &amp; #Zika. https://t.co/x1IkFzTJEW
4695,Warning for pregnant women as Zika virus to spread ##Zikavirus... https://t.co/O28Ca5SkpK
3601,Protecting the Workforce from Zika https://t.co/SbnGMIQOH4
8631,Ending malaria with mass outdoor spraying would be such a game changer for much of Africa #ZikaVirus What are they spraying with?
6160,Using the environment to fight Zika-carrying mosquitoes WATCH at: https://t.co/25DwzW21q2 https://t.co/kVMJ7bW5xj
5813,Anticipating the international spread of Zika virus from Brazil - The Lancet https://t.co/bJWW1Std3y
2854,Spraying will continue INDEFINITELY  o_O Wynwood A ‘Ghost Town’ As Spraying For Zika Continues https://t.co/ygFzy9lXID
8460,"Avoiding mosquitoes could mean avoiding Zika, so check for standing water around your home. https://t.co/qGAL2XEx2h https://t.co/TsYF14ifS4"
3098,Stopping Zika: Attacking mosquitoes from within https://t.co/HDj3qiTpnY
5411,Stopping zika with mutant mosquitoes #news #market #business https://t.co/scxdq6HXi2 https://t.co/8mlsp5mGA0
5166,Protecting the blood supply from Zika
6864,Tracking mosquitoes and fighting Zika virus.. Related Articles: https://t.co/658msKArfK
4065,Expecting a baby? Practice for preventing #Zika by preventing mosquito bites &amp; controlling mosquitoes around home. https://t.co/6ypvP1vusv
2552,Traveling to Mexico/P.R./Bahamas this summer? Here R helpful tips to protect against mosquito bites and #Zika virus. https://t.co/5FfnSARj4w
181,"Dwelling with individuals they chew, Zika mosquitoes onerous to battle https://t.co/eZtLv3UQ98 https://t.co/ifOILdcv8e"
8546,Predicting the spread of the Zika virus https://t.co/OSeKRef43O
6874,Fighting Zika virus in a Silver Lake backyard: The hunt for the 'cockroach of mosquitoes' https://t.co/ESkJxKepKc
