,tweets_VBG
6084,"Standing water attracts mosquitos too; watch out for Zika, Heather!!  #dmtalk"
10110,"Travelling? Help Protect yourself from Zika virus. No DEET, No Chemicals Bug Away Bug Spray. https://t.co/GG0z0qIRwI https://t.co/0OnYd6GYca"
9102,"Catch us @ #Diadelosmuertos festival, 1900 Kane St. Get the buzz on #Mosquitoes &amp; #ZikaVirus @HoustonHealth… https://t.co/xrFVEQALfn"
9700,"Reading up on Zika and the havoc Americas' mosquitoes are wrecking, I want to blow kisses to the Naija mosquitoes in my room. Such nice pets"
5129,Stopping Zika: The GMO mosquito that kills his own offspring - CNN International https://t.co/sXAPAU5sx1
8974,Listening to a scientist on the radio talking about implanting wolbachia into mosquitoes to stop zika. Code Talker's genius lives on #MGSV
9106,Understanding the Zika Threat. Protect your yard and your family by following these tips.  https://t.co/0eWs3R8H75
7184,"Devouring 1,000 Mosquitoes an Hour, Bats Are Now Welcome Guests as Zika Fears Rise https://t.co/RCPP8HCnEt"
75,Learn how to stay safe from mosquitoes carrying #Zika virus: https://t.co/s182Ra6Gg9 https://t.co/Y3gatXbD3D
2301,Probing a mosquito protein for clues in the fight against Zika #ChemistryNewslocker https://t.co/N43YjFlS1q
283,"Living with people they bite, Zika mosquitoes hard to fight: SAVANNAH, Ga.        (AP) -- The mosquitoes... https://t.co/EMjUuolO6O #news"
1104,SEE IT: Rep. frustrated by Zika brings jar of mosquitos to House https://t.co/5HEBAV3pXw
1629,Protect yourself from #Mosquitoes this year  to prevent #ZikaVirus and possible birth  defects for pregnant women! https://t.co/BjwQa8ARBq
5549,Let's try this!  Don't forget mosquito repellent while outdoors. :) #healthfirst #loveyourlife #kidenga #zika https://t.co/Mr3VfWApBC
5863,"Wake up! This, and the 'home grown' mosquitoes carrying the Zika virus in FL are the beginnings of germ warfare https://t.co/3YBOfQhItQ"
5883,Check out our blog on preventing mosquitoes! https://t.co/K7dJIofcQp https://t.co/BH12DdhZd1
6110,Let's build a world where every child can grow up healthy and protected from harm #thisability #ZikaVirus v/@unicef https://t.co/uLbtVP2vrG
3173,Spraying Pesticides May Not Kill Zika Mosquitoes https://t.co/qd6KRHk7lJ via @motherjones
5193,Protect yourself against Zika. Mosquito Repellents available at Mirab.  #Mirab https://t.co/4ziFI9mAad
3506,"Warning! Broken screens, lack of air conditioning, &amp; standing water make for  perfect breeding grounds for the mosquitoes that carry  Zika."
9177,Fighting the Zika virus one mosquito at a time ✋#splat
4926,Traveling to a country with reported cases of #Zika? Stay informed and follow tips to prevent mosquito bites. https://t.co/IrEnxpneIp
3820,Take these four steps to protect yourself &amp; your family from #Zika. https://t.co/iQ7NNiJ0WG https://t.co/E3EE9VnjH1
