,tweets_VERB
86,"Vi um cara falando de zika vírus e de usar preservativo, lembrei daquela faixa USEM CAMISINHA VAMOS COMBATER O MOSQUITO DA DENGUE"
87,"Bastou pegar Mosquito Narco Bolivariano,  como um raio apareceu o Zika Vírus illuminati.. https://t.co/JsgA1lzqxd"
88,Veja as diferenças  dos sintomas deste pequeno mosquito que causa essas doenças: #zika… https://t.co/3hFlO87gix
89,"Bastou pegar Mosquito Narco Bolivariano,  como um raio Mídia criou a figura do Zika Vírus illuminati. https://t.co/Sobc2BbAOu"
90,Gostei de um vídeo @YouTube https://t.co/Ia6c4PplGI toda a verdade sobre a farça do zika virus transmitido pelo mosquito da
91,"Saem novas noticias sobre o Zica vírus a todo instante. Grávidas, se cuidem!  Eliminem focos de mosquito, usem... https://t.co/TIy67wVrU4"
92,"Lembrando que a Zica é transmitida por um mosquito, portanto, não crie ele...!"
93,"Pow antigamente agente tinha a zika como forma de má sorte,não é que agora veio em forma de mosquito seguraaaaaa... https://t.co/gyVeEr7Zo3"
94,Qria descobrir quem colocou o nome do mosquito de Zika
95,"Tem gente na minha sala com zica, que medo desse mosquito"
96,Puta medo de qualquer mosquito que passa aqui no S tiroteio!Vai que é o #Zica #virus eu em!!! #SextaDetremuraSdv
97,"Quer dizer que a culpa da epidemia de 'Zica vírus', é da Dilma? A culpa é da sociedade que mantém os focos dos mosquitos nas suas casinhas."
98,Garanto se esse mosquito da Zica transmitisse uma doença que deixa o pau pequeno iam acabar com a raça dele rapidinho!
99,"Convido a população e entidades pra unirmos forças em ações de combate ao mosquito Aedes Aegypti transmissor da Dengue, Zika e febre Chik..."
100,"Imagina pegar uma daquelas doença do mosquito, que Zika né?"
101,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/SxT5bo8HE8 O MOSQUITO DA ZIKA ME PEGOU
102,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/C9aRB6NDt3 MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
103,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/tE64c66o7D O MOSQUITO DA ZIKA ME PEGOU
104,Dei um gritão aqui em casa e matei um mosquito zika. De zika já basta a minha vida.
105,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/pf2wTifwWF MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
106,Engravidando do mosquito zica
107,#rechandoderir!!! 󾌴 Dilma acabou de anunciar que vai entrar contra o mosquito da Dengue Zica e Chincungunha com o... https://t.co/QAGVuuyaxt
108,Erradicar o zika vírus deveria ser erradicar o mosquito Aedes aegypti também.
109,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/fYmjeA0ZAw O MOSQUITO DA ZIKA ME PEGOU
110,"aproveitar a temporada sem picadas de mosquito , prevenir rl #zika e #dengue com o #repeller get it today for iPhone https://t.co/MpoAVrlCGe"
111,Gostei de um vídeo @YouTube de @lui_nato https://t.co/QIXv6dbXFM MOSQUITO É ZIKA
112,"Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma, viu!"
113,tinha um mosquito zika no meu cachorro eu to surtando
114,Gostei de um vídeo @YouTube https://t.co/ITmE7Q7NTw formas de combater o mosquito da zika
