,tweets_VBG
56,G1 A facilidade de disseminação do vírus da zika em mosquitos culex contaminados em laboratório foi confirmada... https://t.co/ehBlzdoKw2
57,'Estudam a possibilidade de mosquitos comuns transmitirem o Zika vírus' gente fudeu
58,"Siga a @InsetChaves e conheca nossa empresa, estrategias e participe ativamente conosco do combate ao mosquito da zika.#VemConosco"
59,Gastei a onda no snap eu mano mosquito da zica
60,"Sobre a Saúde Vamos pôr o mosquito da Dengue, Zika e Chikungunya na Cadeia - Mj. Olímpio. #DebateDaBand"
61,"Começa a aplicação de um novo inseticida para combater o mosquito que transmite a dengue, a febre chikungunya e o zika vírus. Veja no #MGTV!"
62,fazendo a cruz com a unha nesta picada de mosquito para repreender a zika em nome de jesus
63,"@RicaPerrone festa encerramento linda! Foi tudo bom demais!Nem a Zica do mosquito, nem a Zica da @folha atrapalharam a Rio 2016"
64,😮 How mosquitos drink blood. #MosquitoDay #mosquito #Zika #Malaria #insect #nature #wow   https://t.co/A4eph2kRV9
65,Chegou a coleção completa de Citronela da Perfubrasil ! Repelente Natural do mosquito que pode transmitir zika... https://t.co/ogsWVA58uS
66,mosquito me pica já fico DENGUE ZIKA VO MORRE
67,"Com a crise só prospera Odebrecht, divida de banco e o mosquito da Zika"
68,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika - https://t.co/lXVEQBg9P8 https://t.co/L3LXPLTXpP
69,"E a Fund. Osvaldo Cruz de PE achou o vírus zika dentro do mosquito comum. Lá vem o apocalipse zumbi. Brasil, um país de microcéfalos."
70,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika https://t.co/y52yxgV1LG via @tvconexao33
71,"Convidamos a comunidade para participar do 'Arrastão de Combate ao mosquito da Dengue, Chikungunya e Zika Vírus,... https://t.co/45XjP9KwH7"
72,Vei a Renata mandou eu fazer um trabalho do Bag da zika e até agr n vejo nenhum musquito mané
73,"Se a nicki não vem pro brasil por causa desse zika virus,ah mas eu vou dar tanto na cara desse mosquito"
74,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
75,"abri a janela do quarto e nem um ventinho entra, mais fácil entrar o mosquito da dengue/zika"
76,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
77,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
78,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
79,"É a zika pegou a Hope Solo mas não a do mosquito, que a do frango, tadinha da mina kkk dalhe Colômbia #tipoColombia #COL #COLxEUA #FutFem"
80,daqui a pouco vou pegar um zica de tanto mosquito
81,"fiz a prova de biologia hj, so tinha zika, serio pensei q a prova ia virar mosquito e voar"
82,do tanto que ja fui picada por mosquito hoje certeza que peguei zika virus
83,deus me libre cheio dos mosquito aki pode se o zika querendo me mata nao vai consegui deus eh mais
84,Com a quantidade de mosquito que tem no meu trabalho é um MILAGRE eu ainda não ter pego Zika. Nem Dengue. Nem Chikungunya.
85,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
86,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
87,"Porra a menina que trabalha do meu lado na empresa tá com zika, agora qualquer mosquito que me picar lá vai ser meu fim."
88,@kharalhow e depois que saiu que o mosquito normal tbm passa zica eu fiquei foi doida
89,"Cheguei a uma fase na vida em que tenho mais medo de mosquito que de gente. Me chama pra passear na cracolandia, mas não me chama pra zika.😔"
90,Fucking mosquitos #ZikaVirus
91,"Do tanto de mosquito q me picou hj vai ser um milagre nos dias de hj se eu n tiver pego uma zika, dengue ou algo do tipo"
92,"E a incidência brutal desses casos está se dando por conta do mosquito da dengue, que é o da zika, que é o da Chicugunya. O mesmo mosquito."
93,do jeito q eu to vendo daqui a pouco o mosquito da zika vai se reproduzir no ar
94,"Se a gente for picado pelo mosquito da dengue, pegar zika vírus, a gente vira mano?"
95,"É a microcefalia acomete crianças cujas as mães contraíram o Zika Vírus, transmitido pelo Mosquito da Dengue, veja que tragédia é isso."
96,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
97,"E a zika? Onde se enquadra? Mosquitos Geneticamente Modificados Liberados aos Milhões, inclusive no Brasil https://t.co/8hdDjJxisi"
98,imagina a dilma e o lula jogando os mosquitos da zika por todo o brasil nossa realmente culpa deles
99,"Conheça a rede Zika, força-tarefa de 42 laboratórios contra o mosquito Aedes Aegypti - https://t.co/uWepM5Nttw https://t.co/YzTjrc5G0n"
100,"'Combate ao vírus do mosquito Zika' e 'Ninguém é mais honesto do que eu',frases que enchem de orgulho os intelectuais e bolivarianos..."
101,Se a presidenta já mudou o nome do mosquito pra mosquito Zica e disse que o ovo transmite a doença! Estamos fudidos e mal pagos kkkkkkkk
102,Lovemaking Technique Zika mosquitos not for media gallery https://t.co/bk4s7wgdxt https://t.co/1ou1fteIy9
103,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
104,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
105,"Parabéns a Escola Luis Eduardo Magalhães que junto com o NRS N iniciam ação de combate ao mosquito da Dengue, Zika e Chicungunha."
106,ai a gente sai do escritório e tá um mormaço do carai misturado com uns mosquitos transmissores de zika/dengue/chico/etc e tal
107,"Que a zika é uma doença que se espalhou recentemente pelo mundo, todo mundo sabe. Que o mosquito Aedes aegypti é... https://t.co/jXWpTkZexm"
108,"Tirei a conclusão de que Deus me protege muito, pq todo dia é uma picada nova de mosquito e não peguei zika 🙏"
109,mosquito me pica eu já fico adeus mundo foi bom estar aqui aqui jazz zika helle vírus
