,tweets_VBZ
103,ai a gente sai do escritório e tá um mormaço do carai misturado com uns mosquitos transmissores de zika/dengue/chico/etc e tal
104,"Que a zika é uma doença que se espalhou recentemente pelo mundo, todo mundo sabe. Que o mosquito Aedes aegypti é... https://t.co/jXWpTkZexm"
105,"Tirei a conclusão de que Deus me protege muito, pq todo dia é uma picada nova de mosquito e não peguei zika 🙏"
106,mosquito me pica eu já fico adeus mundo foi bom estar aqui aqui jazz zika helle vírus
107,*tava a tirar uma foto* *aparecem mosquitos* 'Ai o zika' *ele começa a correr*  AHAHAHAHAHAHA FODA-SE
108,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
109,@douglasjferreir @tweettorcidas esse bicho zica mais do q o mosquito zica
110,"pq a doença do mosquito chama zika cara, acho tao ble"
111,"Cadê a Citronela? Leia na https://t.co/kGtI6uBxAo: Mosquito da dengue e zika é 'inimigo nº 1 da saúde',diz ministro. https://t.co/fos9pO8pdP"
112,CADE A LIMPEZA NAS ESCOLAS DE SÃO LEOPOLDO ?? QUE TÃO FAZENDO DURMINDO EM CIAM DO MOSQUITO ZICA CHINCUNGUNHA ??... https://t.co/2oEHy95k3X
113,"'Com a atual propagação do mosquito da dengue e do zika vírus, é de extrema importância que cada um dos cidadãos de… https://t.co/owgVBB6jV8"
114,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/t4E4Oml1pY https://t.co/qgy5D2q0rb"
115,ZIKA A agência reguladora americana de medicamentos.  Zika: EUA aceita testes com mosquitos geneticamente modificados!!!!
116,deus me libre num posso ve um mosquito ja penso q eh o zika
117,Do que adianta fazer um tinder de zika vírus se o mosquito VOA????
118,Como a tecnologia pode ajudar a combater o mosquito do zika vírus - Isso é Exatas https://t.co/7xsfce74K5
119,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/to8ZdopEjS
120,Com a fome de 3.400.258 mosquitos zika
121,"se a zika for transmitida pelo mosquito comum, acho que finalmente o brasil vai ser exterminado"
122,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
123,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
124,Cover up? Zika Mosquitoes Same as GM Mosquitoes ... - https://t.co/aKeGblTT0m - #ArmageddonScenarios https://t.co/73ZzHfeY2Q
125,"Estou a louca do mosquito,tudo acho que é Zika."
126,"Consulte a cartilha sobre o vírus Zika. Se o mosquito pode matar, ele não pode nascer!... https://t.co/Mb4IHbcI13"
127,Passei a tarde numa rede no meio do mato cheio de mosquito querendo me passar zika dengue chico cunha mas não conseguiram pois sou vencedor
128,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/SQJ5gfOMWF https://t.co/OE1FxfhnaY"
129,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
130,Se a Zika bombar no RS por causa de um mosquito que nasceu na minha casa porque estou enchendo os balde com água da chuva eu tô nem aí.
131,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
132,"Conheça a MOSQUITOEIRA   Nessa época de DENGUE, ZIKA essa 'engenhoca' pode ajudar a combater o mosquito  e SALVAR... https://t.co/MdH7CdLFXC"
133,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/HUv7D2s1z8
134,Começo a crer que funkeiros são os progenitores dos mosquitos que transmitem o zika vírus
135,Ajude a eliminar o mosquito #AedesAegypti. Essa luta é de todos nós! #ZikaZero https://t.co/1HQbpvERbp
136,Let me go inside before a mosquito gives me freaking zika 😩😩😩
137,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
138,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/vADU3BQk2Q
139,"com a quantidade de picada de mosquito que eu to pelo corpo, é bem provável que eu tenha dengue, zica ou chicu"
140,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
141,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
142,abro a janela p ventar entra chuva mosquito zika lula dilma testemunha de jeova tris teza al quaeda paz amor drogas mas vento que é bom nada
143,daqui a pouco eu pego zika c esses mosquito
144,"e a 'zika' não é contagiosa, mas é transmissível pelo mosquito aedes aegypti.  temos o trabalhador do ano, pessoal."
145,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
146,do jeito q esses gringos agem parece que qnd eles pisarem no brasil vao ser atacado por 500 mosquitos vao pegar zika dengue e chikungunya
147,Vaiar a Hope Solo por se proteger do zika vírus é similar a vaiar alguém que passa protetor solar.
