,tweets_VBN
117,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
118,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
119,"Parabéns a Escola Luis Eduardo Magalhães que junto com o NRS N iniciam ação de combate ao mosquito da Dengue, Zika e Chicungunha."
120,ai a gente sai do escritório e tá um mormaço do carai misturado com uns mosquitos transmissores de zika/dengue/chico/etc e tal
121,"Que a zika é uma doença que se espalhou recentemente pelo mundo, todo mundo sabe. Que o mosquito Aedes aegypti é... https://t.co/jXWpTkZexm"
122,"Tirei a conclusão de que Deus me protege muito, pq todo dia é uma picada nova de mosquito e não peguei zika 🙏"
123,mosquito me pica eu já fico adeus mundo foi bom estar aqui aqui jazz zika helle vírus
124,*tava a tirar uma foto* *aparecem mosquitos* 'Ai o zika' *ele começa a correr*  AHAHAHAHAHAHA FODA-SE
125,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
126,@douglasjferreir @tweettorcidas esse bicho zica mais do q o mosquito zica
127,"pq a doença do mosquito chama zika cara, acho tao ble"
128,"Cadê a Citronela? Leia na https://t.co/kGtI6uBxAo: Mosquito da dengue e zika é 'inimigo nº 1 da saúde',diz ministro. https://t.co/fos9pO8pdP"
129,"Retweeted Folha de S.Paulo (@folha):  Mosquito da dengue e zika é 'inimigo nº 1 da saúde', afirma ministro... https://t.co/CJXFTDOatK"
130,CADE A LIMPEZA NAS ESCOLAS DE SÃO LEOPOLDO ?? QUE TÃO FAZENDO DURMINDO EM CIAM DO MOSQUITO ZICA CHINCUNGUNHA ??... https://t.co/2oEHy95k3X
131,"'Com a atual propagação do mosquito da dengue e do zika vírus, é de extrema importância que cada um dos cidadãos de… https://t.co/owgVBB6jV8"
132,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/t4E4Oml1pY https://t.co/qgy5D2q0rb"
133,ZIKA A agência reguladora americana de medicamentos.  Zika: EUA aceita testes com mosquitos geneticamente modificados!!!!
134,deus me libre num posso ve um mosquito ja penso q eh o zika
135,Do que adianta fazer um tinder de zika vírus se o mosquito VOA????
136,Como a tecnologia pode ajudar a combater o mosquito do zika vírus - Isso é Exatas https://t.co/7xsfce74K5
137,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/to8ZdopEjS
138,Com a fome de 3.400.258 mosquitos zika
139,"se a zika for transmitida pelo mosquito comum, acho que finalmente o brasil vai ser exterminado"
140,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
