,tweets_pronouns
94,"Quase que meu amigo pega zika, por sorte eu estava por perto e matei o mosquito... Sabe, amigo é pra essas coisas. https://t.co/AV4NxG0yG8"
95,"Mas tem TANTO mosquito que, se eu pegar zika pela 2ª vez, nem vou ficar surpresa."
96,"06:00 da manhã, Gabriel vem me perguntar se o mosquito q mordeu ele, tem zica 😒😒👌"
97,Nosso maior problema  é a saúde pública do Brasília  O mosquito da Dengue. Zica e Chico...tem que atacar o... https://t.co/8HZe8r98Sy
98,tanto mosquito nessa porra desse ministério do trabalho que minha vitoria vai se sair daqui sem dengue zika chyspunguna um pucima do otro
99,"Chocada com discurso da nossa Presidenta, que disse que o vírus da Zika se transmite através do ovo contaminado do mosquito. Piada??"
100,"Toda vez q um mosquito me morde quando eu olho é aquele de patinha  branca, já tô achando q vou morrer de Zica dengue vírus"
101,"Qualquer mosquito que pousa em mim, eu já acho que peguei zika"
102,Eu tentei fazer ontem e não consegui. Imagem do transmissor do vírus (aí aparece o mosquito com um boné escrito ZIKA).
103,"acho que aquele mosquito, o zika vírus me picou, porque eu to muito Z1K4"
104,Vamos entender mais sobre o virus ZICA 👉https://t.co/b1L2zrrW5s       VAMOS JUNTOS CUIDAR DO NOSSO FUTURO ACABAR COM ESSE MOSQUITO!!!
105,"Quase que meu amigo pega zika, por sorte eu estava por perto e matei o mosquito... Sabe, amigo é pra essas coisas https://t.co/iJF6Ys9ypl"
106,"Meu desse vírus ZiKa, já não basta a Dengue agora Zika, po tadinho das criança. Temos que combater esse mosquito hell."
107,se um mosquito n infectado pica alguém com o zica ele pega e passa a transmitir aí eu fico me perguntando como isso não acontece com a aids
108,Zika vírus e dengue eu não pego. Já não tem mais espaço pro mosquito me picar. 😡
109,CARALHO EU TO COM ZIKA VIRUS JDNDJJSISBBXJDJS QUE PORRA É ESSA? por isso que eu odeio mosquito aaaarrrg
110,"Quando ouço falar do Zika vírus, imagino um mosquito com bonê de aba reta, aparelho de elástico nos dentes, cantando mc daleste."
111,"quem sabe o Zika não seja aquele 'incentivo extra' que nos faltava para combater, de verdade, o mosquito Aedes ? =/ https://t.co/GlNPtPuJrL"
112,"Minha mãe ta obcecada com a Zica, já colocou inseticida em tudo quanto e lugar, e ainda fica tentando matar mosquito"
113,"Um mosquito bizarro me picou aq no dtw, espero que eu não pegue o zika virus"
114,Gente muito cuidado com o mosquito #zICA. Ontem um amigo meu quase foi picado sorte dele q eu não deixei ... Fotos no comentários
115,vcs ficam chamando o mosquito de zika como vcs querem q eu vos leve a sério meus queridos?
116,"so nessa leva de mosquito que ta em mim enquanto digito esse tweet ja peguei zika virus, dengue, febre amarela e chikungunya"
117,"Ai minha miga diz q ta doente pq o namo :  [10/12 17:10] Nanda: Vai no médico pq pode ser zica, Sabe [10/12 17:10] Nanda: Aquela do mosquito"
118,meu deus tem gente falando que zica não transmite do mosquito pq se fosse assim os mosquitos já tinha espalhado a aids da África pro mundo
119,"Eu vi vários vídeos sobre esse Zika virus que tem muita semelhança com dengue tals, e eu não sei como eu nunca tive isso. Mosquitos me amam"
120,"A mãe ta meio noiada c esse tal de zika vírus, n pode ver um mosquito na frente dela q o spray já pega"
121,"Mosquito do zika vírus mordeu quando eu era menor,por isso sou Zika kkkkk"
122,"Zica sou eu caraaai, esse mosquito n ta c nd"
123,Qual fooi desse mosquito ai ? Tal de zika eu hein sai pra lá
124,TODO MOSQUITO que minha mãe vê ela dá piti pensando que é do zika virus olha não aguento mais
125,Tem tanto mosquito aonde eu tô que daqui a pouco tô com zika.
126,Vários conhecidos meu com ZICA VÍRUS ... Que eles venham melhorar logo ♥  Camorim cheio de mosquito .. 💔
127,Agora qualquer picadinha de mosquito que eu levo já fico preocupada achando que vou pegar o zika vírus
128,Qualquer mosquito que me pica acho que é o zika virus audhauhziakaoa
129,"aqui ta cheio de mosquito, pf  me passa a zika"
130,Ei cuidado com mosquito da zika. Hoje um amigo meu quase foi picado a sorte que eu estava perto e… https://t.co/uxJNghc6SD
131,Quando falam em Zika vírus eu já logo penso em um mosquito todo caracterizado como funkeiro '-'
132,Eu sou mais zica do que esse mosquito que transfere o zica vírus se ele me picar ele morre de overdose
133,"quando falam do vírus zika, só eu que imagino um mosquito com bermuda de lycra, um bonézin e juliety?"
134,Eu nunca vi tanto mosquito na minha vida senhor deus vou pegar o vírus zika
135,Um mosquito me pica e eu já fico pensando na zika
136,"Aí o mosquito me pica e fico desesperado. Em tempos de Dengue, Zika... #tenso"
137,Esperando esse mosquito me picar p eu virar um mlk zica
138,"to com medo do mosquito da dengue me picar e eu ficar com o zica virus e sair por ai de nike 12 mola, boné aba torta da quick e juliet"
