,tweets_VBN
86,Retweeted Globovisión (@globovision):  Bacteria dificulta que mosquitos transmitan el virus de zika... https://t.co/d6o99quALt
87,"Reconocen a 10 escuelas como espacios libres de criaderos del mosquito transmisor de Zika, Dengue y Chikungunya. 8.40 am en @MasNoticiasVer"
88,"mamá me dijo hoy, recomiendan dormir con ventilador por los mosquitos con todo ésto del zika,"
89,Estoy a punto de traer el mosquito transmisor de zika y dejarle al lado de mi compañera de trabajo les juro
90,"Solo a mí me pueden picar mosquitos en el parpado! 3! Serán dengue, zika y chilunguña? 😱"
91,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/1634cALnob
92,"Retweeted gob.mx (@gobmx):  ¡Sin criaderos no hay mosquitos! Sin mosquitos no hay #dengue, #chikungunya ni #Zika... https://t.co/c4WBlwop3q"
93,Protegerán a embarazadas con repelente contra el #Zika en #Morelos   https://t.co/tPRFnGnsfy
94,"Retweeted Matías Quiroz (@Matias_QM):  Da inicio el plan estatal contra el mosquito transmisor d zika, dengue y... https://t.co/frnbTSSvuJ"
95,"Cuida a tu familia, la picadura del mosquito que transmite el #Zika, debe tratarse inmediatamente. https://t.co/F1psy6BpoD"
96,"Empiezo a creer que tengo la cura del zika, mil mosquitos me pican y solo para romperme los huevos"
97,"Viajas a algún país afectado por el #Zika? Protégete con Normopic, tu barrera frente al #mosquito portador del virus https://t.co/xzuVcW5VgJ"
98,"Si a una persona le pica un mosquito con Zika, uno con Chikungunya y uno con Denge, se crearia el Zikangunyengue? 😕"
99,Retweeted PR contra el ZIKA (@PRcontraelZIKA):  #Zika: Eliminar los criaderos de mosquitos y evitar las picaduras... https://t.co/nMEvujy0Tj
100,gente me pico un mosquito en EL MEDIO DE LA FRENTE ya 100to el zika fluyendo por mis venas
101,Retweeted El Espectador (@elespectador):  La propuesta de algunos científicos para combatir el mosquito del zika.... https://t.co/A3GuEGM5j7
102,Retweeted SERTV (@SERTVPANAMA):  ¡Sabías que! el ZIKA es un virus que se transmite por medio del mosquito... https://t.co/T7SIh6RPjI
103,Retweeted Difusion Libre (@DifusionLibre1):  Plantean infectar mosquitos del zika con una bacteria resistente a... https://t.co/9GLUhjats8
104,Get Our Repellent &amp; Lose Your Bugs ....Now! #noseeums #mosquito #zika #bestrepellent #bmrtg https://t.co/g0LWQfynvj
105,Tucumán A las 7 Secretaría de Salud pide reforzar prevención ante proliferación del mosquito de zika… https://t.co/sCr9CTA108
106,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/chwStrecqK
107,"Ya me dio dengue y chikungunya.. Ahora tengo los síntomas del zika, los mosquitos me odian😭😷😷"
108,Vengo a contar que tengo una roncha del tamaño de mi dedo pulgar y seguro me pico un mosquito con zika.
109,Catch 22 Zika Mosquitos #CurrentEventAStory
110,"Retweeted Casa Rosada (@CasaRosada):  Seguí estos consejos para evitar que el mosquito transmisor de zika, dengue... https://t.co/daKpKgIwe1"
111,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales"
112,Enseñe a sus hijos que las picaduras de mosquitos son malas con el libro de actividades de los CDC sobre #Zika. https://t.co/rkMNkIlMsq
113,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/rHHpF37VDr #Zika https://t.co/SndQv4Chxx
114,"Preguntan a 1 regatista español q compite en los juegos sobre zika y responde'somos más peligrosas las brasileñas,q los mosquitos' crack!!"
115,Retweeted Univision Salud (@UnivisionSalud):  “Ante posibilidad de #zika transmitido por mosquitos usaremos todos... https://t.co/Ey5WAdq9b4
116,Retweeted Apunte Digital (@apunterd):  La OPS pide controlar el mosquito ante inminente llegada del zika a toda... https://t.co/DflzwwXxRY
117,—¿Qué me harías si estuviera desnuda en tu cama? 😏  —Te cubriría con mi mantita para que no te pique un mosquito y te de Zika princesa.  - 😒
118,"fui a las barrancas y me comieron los mosquitos , con la liga que tengo me agarro zika"
119,Retweeted OPS/OMS (@opsoms):  #Zika: Mira nuestros consejos para evitar los criaderos de mosquitos en el patio de... https://t.co/rZa8IiXj0k
120,EXHORTAN A POBLACIÓN A ESTAR ALERTA ANTE POSIBLE DE MOSQUITOS #Lluvia #Salud #Zika #NotiRey… https://t.co/wWrWjsvniy https://t.co/KGD1b2yay8
121,Van a liberar mosquitos modif genéticamente para combatir el zika en los Estados Unidos https://t.co/PgujBdeXop
