,tweets_VBZ
149,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
150,"Protége a tu familia de enfermedades como el dengue, zika y chikungunya, ¡elimina criaderos de mosquitos! https://t.co/oqpNKJuahy"
151,Ver a Boca me da ganas de que me pique un mosquito todo lleno de Zika.
152,Salí a fumar al patio y me picaron como mil mosquitos. Ojalá que algunos sean Aedes Aegypti y mañana despierte con Zika o Dengue (?
153,Gracias a @Lachacharaco por compartir mi punto de vista sobre el manejo que se le ha dado al Zika y al mosquito https://t.co/tN1JRoJkGW
154,"Casa a casa cada Galapero conocerá como protegerse y eliminar factores de riesgo para Zika, dengue y chikunguña. @marguymendoza @AMBQuilla"
155,"Ya me picó un mosquito, voy tramitando mi crónica de tener zika en @RevistaPaco"
156,"TODOS A ERRADICAR A LOS MOSQUITOS... El virus Zika, para el que no existe tratamiento ni vacuna -sólo se pueden... https://t.co/TYR4BRfKap"
157,"Voy a comprarme un repelente, porque con la suerte que tengo me va a picar un mosquito con zika y voy a ser el primer caso en Chile"
158,¿Y a qué hora hacen el remix de la canción del Chinkongunya ft. el mosquito del Zika?
159,¡Protege a toda la familia de los mosquitos de manera 100% natural! De venta en @PlazaLama. #Prevención #ZikaVirus https://t.co/GqVnFVM4Fr
160,Llegó a Chile el mosquito que contiene el virus del zika. Ahí tenis OMS.
161,Llegó a Chile mosquito hembra infectada con virus Zika! Para todos los que decían que no estaban las condiciones de Temperatura! Ahí tienen!
162,Llega a Chile mosquito que transmite el zika: Autoridades de Chile confirmaron el hallazgo del mosquito Aedes ... https://t.co/ZWHPoh7nxr
163,Llega a Chile mosquito que transmite el zika https://t.co/i9I1OoUDxB
164,Llega a Chile mosquito que transmite el zika - Autoridades de Chile confirmaron el hallazgo del mosquito Aedes ... https://t.co/ZVtH7eYeFo
165,Viajó a un área afectada por el #zika? Aprenda cómo proteger a su pareja: https://t.co/cUdoZ8geEy https://t.co/2OP4ZlpibB @nycHealthy
166,Protege a niñas y niños de la picadura de mosquito portador de #Zika #Dengue y Chikunguya #EsSuDerecho https://t.co/XueKo8S7Na
167,Enseña a niñas y niños como evitar la propagación de mosquitos transmisores de virus #Zika #Chikungunya y #Dengue https://t.co/OngiEhwjwC
168,Pese a encontrar el mosquito transmisor del virus autoridades de salud confirman que no hay casos de zika en Chile   https://t.co/vV9l8ATddJ
169,Vi a uno de esos mosquitos grandes que parece que te van a coger pero lo maté con Pinol. No vengan con sus pendejadas del zika por aquí.
170,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya. Instalamos cedazos fijos y corredizos para... https://t.co/jDAsCEjvFK"
171,Entras a promo izi? a mira el mosquito del zika me va a picar
172,"Salí a caminar y me tope con un enjambre de mosquitos. Si despues me ven con dengue, zika o chucungunya (o como sea) no se impacten jajaja😂"
173,'Van a seguir falleciendo personas si no tomamos conciencia de la situación.No puede ser que un mosquito nos gane.' Ma. Teresa Baran. #Zica
174,Advierten a estadounidenses no viajar a Venezuela por el virus zika: La infección la transmiten los mosquitos ... https://t.co/G5I1wzfaXW
175,"Debido a que el mosquito Aedes que propaga el Zika se encuentra en todo el mundo, es probable que los brotes se extenderán a otros países."
176,Uniformes a prueba de zika...  Así protegerá Corea del Sur a sus atletas para #YoRíoxESPN   https://t.co/sGk18V9K6B
177,"Protege a tu familia de enfermedades causadas por el mosquito del dengue, chikungunya y zika. https://t.co/VdnPEO5Zdv"
178,"Convocamos a toda la población a eliminar los criaderos de #mosquitos y de esta manera evitar la propagación del dengue, chikungunya y zika."
179,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/xhF1KsulE2
180,Exhortan a protegerse contra el Zika en la Semana Mayor  Por: Diario de Puerto Rico  3/23/2016  La epidemióloga... https://t.co/XMpSG2xHNQ
181,Llamado a protegerse del zika en Semana Santa - https://t.co/4N0w9sqQLv https://t.co/lpo6UiHYmM
182,Exhortan a protegerse contra el Zika en la Semana Mayor https://t.co/9RM9rj8J6e #notiuno
183,Llamado a protegerse del zika en Semana Santa - El Nuevo Día https://t.co/judH7Eq7B8
184,Enseñe a su familia a mantenerse a salvo contra el mosquito que transmite enfermedades como Zika!  https://t.co/F9EqAHpsuQ
185,Voy a tirar raid por que hay un mosquito y con la suerte que tengo de seguro tiene el zika el dengue y la fiebre chicunguña #Todo
186,¿Vas a #Brasil para los #JJOO #RIO2016? Recuerda las recomendaciones p/protegerte del #ZIKA https://t.co/3uZdr7bnxf https://t.co/bImqUrAzA8
187,Todos a cuidarnos del mosquito transmisor del zika.. https://t.co/DXJMPDCNql
188,Yo me quedo bobo con la facilidad que salen cosas a causa de un mosquito. #Zika
189,"@ELCOYOTETHESHOW @Mariovipr lo ideal es q las embarazadas eviten a los mosquitos, ya q el zica afecta a los bebes en gestación."
190,"Protége a tu familia de enfermedades como el dengue, zika y chikungunya, ¡elimina criaderos de mosquitos! https://t.co/EHfX7ZqvCF"
191,Ven a vernos y te contamos cómo protegerte (y protegerle) del #ZikaVirus https://t.co/egvaE4EJEQ
192,Ya me dio Zika de tanto mosquito que me picó
