,filtered_tweets_pt
12095,Os mosquitos da zica tão me incomodando 👀
12096,gente eu ainda acho que não é o mosquito que transmite a zika
12097,"Ai que saco esse comercial do mosquito da dengue, zika e tal 😒  A mosquitada é mais forte que a gente sim porra"
12098,"Mosquito picou eu tudo, tomar no cu, não sei como ainda não peguei essa parada de zica ou dengue"
12099,ta cheio de mosquito aqui e eles tao me picando talvez amanhã eu acorde com zika
12100,EUA não veem impacto ambiental em uso de mosquitos transgênicos contra zika https://t.co/EVOEh77puA
12101,um mosquito me picou tomara que seja zika virus
12102,Fantasiada de mosquito do zika na sapucaí! 😂😂😂😂😂😂😂😂😂😂😂😂😂😂 morri @Acinom_rj
12103,"Tem uns mosquitinhos chatos aqui, imagina se eles são os mosquitos da zica? 😱😂😂"
12104,Unico jeito de nos livramos das Rennikers shipper é acabando com o mosquito q trasmite a zika. Estão todas com microcefalia. #bbb16
12105,"Só é notícia de Zika Vírus nesses jornais. Pelamor de Deus!  Esse mosquito não vai atingir a minha família, nem a de vcs!  Amém!"
12106,Zika Zero: Barra de São Francisco realiza mobilização contra mosquito Aedes aegypti https://t.co/1Nu1zC12wS
12107,"1) Imagine a Zika, a Dengue e a Chikungunya em um mesmo mosquito. Três vírus em um só lugar. 2) Releia a chamada,... https://t.co/5Sjld7NrZi"
12108,Campanha da TV Cidade - Cuidado com o mosquito da Zika!!! Assista o vídeo:... https://t.co/dzPrMQMRxI
12109,Cuidado com o mosquito da Zika!!! Campanha TV Cidade. Assista o video:  Assista o... https://t.co/3lMJteu39X
12110,Todos contra o mosquito da Zika. All against Zika. #fightagainstzika #zikavirus #mosquito… https://t.co/cbcEtvROzq
12111,Mosquito transgênico: jogar os insetos nos ecossistemas não resolve casos de zika e dengue: “A Oxitec é uma em... https://t.co/RQEYShrxJU
12112,tinha um mosquito zika vírus na minha água .
12113,"A conscientização e participação da população são fundamentais para combater o mosquito da dengue, Zika e chikungunya. N deixe água parada!"
12114,@Brazil_Cleo um mosquito me picou. Foi vc zica virus?
12115,"toda vez q eu picada por um mosquito, vem na mente: pronto, vou ficar com zica, não sei pq"
12116,Zika: EUA aceita testes com mosquitos geneticamente modificados: A agência reguladora americana de medicamento... https://t.co/Jm6VLQfQXs
12117,Zika: EUA aceita testes com mosquitos geneticamente modificados https://t.co/YUxDQ0z4ky
12118,ZIKA A agência reguladora americana de medicamentos.  Zika: EUA aceita testes com mosquitos geneticamente modificados!!!!
12119,Debates    Docentes elaboram leitura científica para enfrentar o mosquito Zika - https://t.co/VjajoxA3TJ
12120,"Moradores da cidade de Monteiro que foram infectados pelo mosquito Aedes Aegypti com os vírus da dengue, Zika e... https://t.co/lbZyeIQZdY"
12121,"MATHEUS é o mosquito do coco do cavalo do bandido... é a ZICA, INFECTA  TODO MUNDO COM SEU 'DOCE VENENO' E VAI MORRER POR ELE"
12122,Mosquitos para matar mosquitos: https://t.co/dkPBzSXqPW https://t.co/WByRw1fkTa
12123,"Peixes, inseticidas naturais e mosquitos: armas da América Latina contra o zika https://t.co/tKD5Ag9phQ"
12124,"Escola fazendo vários bag contra a Zika, Dengue e afins, enquanto isso to sendo picada pelos mosquitos daqui"
12125,"A coisa ta tão feia para mim, que se o aedes aegypti me picar, quem pega a zica é o Mosquito kkkkkkk Bom dia"
12126,Agência dos EUA diz que mosquito geneticamente modificado anti-Zika não prejudica meio ambiente. https://t.co/XRz9BWhrPJ
12127,'zika virus é transmitido por beijo'  quem q vai beija um mosquito irmao ?
12128,EUA aceita testes de zika com mosquitos geneticamente modificados. https://t.co/Pu5s1ZckzP
12129,"@AndreiaSadi tipo um mosquitão da zika, só sobrevoa"
12130,"um monte de criancinha passou aqui fazendo campanha contra dengue e tavam vestidos de mosquito,meu pai gritou 'ah, zika vírus!' 😂😂😂 no shaum"
12131,"Visitas com o Comitê de Combate ao Mosquito da Dengue, Zika e Chikungunya... https://t.co/9aZEOZKA0c"
12132,dilma deu uma aula num colégio aí e chamou o mosquito aedes aegypti de zika.......
12133,Vamos combater o mosquito #aedes da #dengue e do #ZikaVirus. Veja: https://t.co/p30nvaJgEr https://t.co/aFlMguffyB
12134,"@TavaresIngrydh @biia_muuniz pra espantar os mosquitos ne, essa zika ai ta foda kkkkk"
12135,@vascodagama cara relaxa vcs n vao ter zica n da p criar mosquito sem água
12136,"Campanha Mosquito da Dengue, Chikungunya e Zica continua, essa semana os pequeninos fizeram uma visita ao SESMA p... https://t.co/kONyKvPz5J"
12137,n precisa se preocupar com a zica n da pra criar mosquito sem água https://t.co/0P4aOLtmhV
12138,@lyeebarcellos esses dias o mosquito da zica se fufu cmg veio me picar achando que eu tinha sangue mais aqui corre vodka em minhas veias 😹😹😹
12139,"Zica vírus transmitido pelo beijo, mas pqp quem vai beija o mosquito???"
12140,"todos juntos contra o único objetivo mosquito Aecio egípcio, conscientização contra dengue, chinkungunha, Zika."
12141,Vamos nos juntar contra o Zika? O BOTAFOGO também está nessa! Saiba como eliminar os focos do mosquito em sua... https://t.co/MIneaqgHLR
12142,Aqui não damos moleza pra #zica  #multirão contra o mosquito do dengue... https://t.co/q52jkaBv96
12143,"Peixes, inseticidas naturais e mosquitos: armas da América Latina contra o zika https://t.co/EwZLLHzNQW"
12144,todo mosquito aqui em casa é zika 😂
12145,O mosquito Aedes tambem transmite Zika. Cuide da sua casa e elimine água parada. Um mosquito não é mais forte que um país inteiro. #ZikaZero
12146,@riyevlol @_yunosan fui responder vcs e um mosquito me mordeu se eu pegar zika e morrer vcs ja sabem qm sao os culpados ne
12147,Agência dos EUA diz que mosquito geneticamente modificado anti-Zika não prejudica meio ambiente https://t.co/osJdGBpoYd
12148,@InsetChaves volta ao condomino Neo Bandeirantes para mais uma acao de combate ao mosquito da Zika.#TodosContraaZika
12149,@AlineFadell @marceloobraga acho que aquele mosquito da zika picou ele e ele ficou meio Zikado
12150,As muriçocas estão no veneno pq perderam espaço pro mosquito da dengue e da Zica kkkk https://t.co/16aMsgV2ZM
12151,"@g1 engraçado,depois que soltaram aquele monte de mosquito no nordeste da Bahia,uns anos depois aparece o surto do Zika,coincidência isso né"
12152,Estados Unidos também irão fazer testes com os mosquitos geneticamente modificados para combater o #ZikaVirus ! https://t.co/dQ7oIcIqFs
12153,"O mosquito encosta em mim e eu na acho que vou pegar zika, trágico 😂👌"
12154,"acho que peguei zika dnv, meu corpo ta cheio de bolinhas vermelhas! diabo de mosquito kkkk"
12155,Combatendo o zika vírus matando o mosquito que tava me picando
12156,Minha mãe e minha avó está com zica mosquito desgraçado
12157,É importante discutir se o mosquito #AedesAegypti geneticamente modificado pode trazer impactos para o #meioambinete https://t.co/PbOJP70n8E
12158,o mosquito é zika mas nois é mais ainda
12159,"#MinhaCidadeTem A meninas Pé de Toddy, Muleques Zika e o mosquito também, tem ladrão, Tem saneamento de esgoto kkk e tem pessoas"
12160,Alguém mosquito do zika me picar
12161,Matei um mosquito da Zika... To carregando esse Brasil nas costas....
12162,"@waferdevodka 'imagina a merda se um mesmo mosquito transmitisse a Dengue, Zika e Chicungunha?'  Meus sentimentos sobre o Trio"
12163,R7 Agência dos EUA diz que mosquito geneticamente modificado anti-Zika não prejudica meio ambiente R7 A agência que… https://t.co/erxSSLqwVN
12164,"Peixes, inseticidas naturais e mosquitos: armas da América Latina contra o zika https://t.co/vcwFQFmoYj"
12165,"A crise que o mosquito Aedes aegypti - transmissor da Dengue, Chikungunya e Zika - vem causando no Brasil está... https://t.co/0FXGbPM0pW"
12166,"Prédios públicos são vistoriados contra o Aedes aegypti. Dia foi de combate ao mosquito transmissor do zika, da... https://t.co/MAjsNExBdx"
12167,Que coragem! Medo se deve ter é do mosquito e do seu transgênico 'zika'! https://t.co/pvO46rI4Up
12168,'ah mas você tá muito paranóica com mosquito' será porque eu peguei ZIKA???
12169,Quando eu Mato um mosquito com aquela raquete só vem uma frase na minha mente Se fudeu zika vírus
12170,Todo mosquito que posa em mim ja acho q é a zica kkkkk
12171,Semanalmente é preciso 'dar uma geral' em casa e eliminar os criadouros do mosquito. #dengue #zika #chicungunya https://t.co/hpYiqvgS2s
12172,Gostei de um vídeo @YouTube de @wandersontabosa https://t.co/4IChJBY47P Mosquito do Zika Vírus - Zumbificado
12173,VOCES NEM SABEM QUE EU ACABEI DE MATAR AQUI O MOSQUITO DA ZIKA
12174,''zika virus e transmitido por beijo''  quem que vai beija um mosquito irmao
12175,Cuidado com o mosquito da Zika!!! Campanha TV Cidade. Assista o vídeo:  https://t.co/r0MK6bipMg https://t.co/R88NEEzT1d
12176,"se passar o ano inteiro esse povo falando só de mosquito, dengue, zika, 'chico cunha' eu vou ter um siricutíco. to falando sério"
12177,Gostei de um vídeo @YouTube de @univesptv https://t.co/pxQG7vi0LZ Zika Vírus para a Escola - Aula 2 - Mosquitos Aedes
12178,"Os mosquito é , baile de favela   Mexeu com os zica vai voltar com o corpo ardenu 🎵✋😂"
12179,"Fui mordido pelo mosquito e ele fugiu, to até me sentindo mais ZIKA memo."
12180,"O campo tava cheio dos mosquitos, se eu não pegar zika é muito sorte!!"
12181,"O mosquito é zika, mas nois é mais"
12182,"O Zika Virus, a Dengue e a Febre Chikungunya são transmitidos através da picada do mosquito Aedes aegypti. A... https://t.co/R7hMgr10HV"
12183,"Parabéns ao pai por matar o mosquito da zika vírus que estava no pescoço do seu filho 󾍊󾍊, Uahsuahsuah https://t.co/RKeppRCFG2"
12184,"so to com um pouco de medo pq eu vi um mosquito da zika no meu braço, matei mas não sei se não foi tarde de mais"
12185,Sou tão zikada que acho que a origem do mosquito zika virus foi minha culpa algum mosquito comum me picou e pegou a zika
12186,"#FormulaENaFoxSports Pelo som , pensei que fosse um enxame de mosquitos do Zica , até me assustei !!@thiagoalvescar ."
12187,"Qualquer mosquito que eu vejo já tento matar, vai que é o zika em forma de pernilongo"
12188,"Queria transcender na vida igual ao Aedes Egypt, que deixou de ser conhecido como mosquito da dengue pra ser conhecido como mosquito da Zika"
12189,"A única coisa boa nessa onda de zika, dengue e chikungunya é que quando eu mato um mosquito, fico me sentindo um verdadeiro super-herói."
12190,O vírus ZIKA Rousseff nos foi transmitido pelo mosquito Lula Aegypti e a população foi ficando microencefalica.  O vetor e a doença
12191,"Querido diário, acho que to com Zica, mosquito filha da puta"
12192,"@BBBelissima Yohanna se encontra com zica virus, não.. Não pelo mosquito renik mais por um mais perigoso chamado pauniel"
12193,Acabei de matar um mosquito que tava me picando to com medo que seja o zika
12194,@choirewn Vai que é mosquito da zika LKLKLLL TA É AMARRADO
12195,"@Wonhoztty cara eu tava msm pensando um dia desses q se eu engolisse um mosquito da zika ele podia me passar a doença, mas como eu já tive.."
12196,Falam q zika vírus pode ser transmitido pelo beijo kkkkk q bobagem qm vai beijar um mosquito?
12197,Ventilador aqui de casa trabalhando mais que o mosquito que transmite o zika virus
12198,"Ja achava isso antes pq aqui tem mosquito p crl, agr q a lu ta c zika entao ..."
12199,"Pede pra ela eliminar o mosquito da Dengue e Zika, por favor... https://t.co/jRlcWoceSf"
12200,"Ser zika é muito mais que ser um mosquito, ser zika vem de dentro"
12201,"8 dicas simples que vão fortalecer sua imunidade e proteger você da gripe, zika e outras viroses https://t.co/Il0jG64bsB"
12202,#Aedesaegypti Combate ao mosquito da #dengue e Zika Vírus começa em casa. Assista ao vídeo: https://t.co/zEkfphzAn0 https://t.co/Wr5KEyOmB1
12203,"EITA VIADO, O MOSQUITO DA ZIKA NO TREM"
12204,"Uma fêmea do mosquito da dengue, zika e chikungunya pode colocar até 450 ovos.  Aqui há armadilhas para muitas... https://t.co/9AK3Oj2JoC"
12205,Com Guardiões dos Tapes (Demolay Canguçu) em campanha contra mosquito da zika/dengue https://t.co/fJFbW4OJ1x
12206,"@sameoIdcyrus zika é o nome da doença, não do mosquito"
12207,Acabei de matar um mosquito da zica dengue chico cunha
12208,vcs acha que zika é o nome do mosquito
12209,"Participei hoje pela manhã da Caminhada ao Combate ao Mosquito Transmissor da DENGUE, FEBRE CHIKUNGUNYA E ZIKA... https://t.co/1p75KttLoD"
12210,"Gente, eu morro congelada nesse meu quarto e os mosquitos não. Deus me livre da #ZIKA"
12211,"Atividade Aedes Aegypti - Mosquito da Dengue, Zika e Chikungunya - Educação Infantil - Aluno On https://t.co/a9bFNPSQlW"
12212,@Yuto_Pentagon mas la tem os mosquitos da zika ...Nao to a fim de virar banquete
12213,Zika sobrevive em outros mosquitos que se reproduzem em água suja - Home (Página Inicial) - Notícias https://t.co/RNPM5PLBkI
12214,Tanto mosquito me picou que a zika e a outra lá tão discutindo p ver quem fica
12215,"8 dicas simples que vão fortalecer sua imunidade e proteger você da gripe, zika e outras viroses https://t.co/St3qi4iqDP"
12216,"Quando falam 'Zika Vírus' eu imagino logo um mosquito com um tênis verde limão, um óculos espelhado, uma camisa laranja e com um boné rosa.."
12217,o mosquito da zika me pico na minha BUNDA...alem de passa doença ainda nao respeita ninguem...eh por isso q o brasil nao vai pra frente !!!
12218,"Pesquisador brasileiro descobre proteção contra Dengue, Zika e outros mosquitos https://t.co/kqTEIvWQ54"
12219,todo mosquito q chega perto de mim ja penso que é os zika virus to ficando neurótico com isso alguém me ajuda
12220,"Explicar pra vcs: são três doenças transmitidas pelo mesmo mosquito, o aedes. NÃO TEM MOSQUITO DA ZIKA, DA CHICO OU DA DENGUE! SÃO O MESMO"
12221,' Zika virus é transmitido por beijo ' quem que vai querer bejar um mosquito ?
12222,Como acabar cm a zika:mate 1mosquito e deixe o cadáver dele ali msm na parede pra mostrar pros outros mosquitos qm é q manda! #AquiNão #Zika
12223,"@felipexilef nem senti muito os mosquitos de lá, mas teve gente que pegou zica"
12224,@GustaavoCL vai matar os mosquitos e acabar com o zika vírus faça algo útil para a humanidade
12225,@ohenriqueandre @MilaDias008 @ThiagoPaneb eu sou mais zika que o mosquito Chico Cunha. Dá não! hahahaha
12226,"disseram que o Zika é transmitido pelo Beijo, mas quem vai beijar um mosquito? é cada uma em"
12227,eles falam tanto desse zika vírus q todo mosquito q ta por perto eu quero matar
12228,"Bactéria Wolbachia pode ajudar a combater mosquito transmissor da #dengue, #zika e #chikungunya. https://t.co/3S7XlTW6Km"
12229,"Atividade Aedes Aegypti - Mosquito da Dengue, Zika e Chikungunya - Educação Infantil - Aluno On https://t.co/wS86FCiSrr"
12230,Voltei toda picada de mosquito. E se for zika vírus já era
12231,Gostei de um vídeo @YouTube de @horebmonte https://t.co/P4eGcawErP Repelente caseiro combate os mosquitos da dengue e “Zika
12232,Zika sobrevive em outros mosquitos que se reproduzem em água suja - (Compartilhado via CM Browser)
12233,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/RPRIwVbkYs #Zika: Água parada pra combater mosquito??? (#Pirula 125)
12234,"Transmitido pelo Aedes aegypti, o vírus zika foi isolado em 1952 em Uganda. O mosquito costuma voar a 1,5 metro de… https://t.co/hIXaCBhmSo"
12235,Zika: cientistas investigam possibilidade de mosquito muriçoca transmitir vírus - https://t.co/jqoJX8nCfY
12236,Twitter no domingo de manhã é mais parado que água de mosquito da Zika
12237,nossa minha mãe ta me repelindo como se eu fosse o mosquito do zikavirus
12238,"Pesquisador brasileiro descobre proteção contra Dengue, Zika e outros mosquitos | Tô no Cosmos https://t.co/0SucFZSPAJ"
12239,"Diferença entre dengue, Zika e chikungunya é sutil, diz especialista: O mosquito Aedes aegypti é o transmissor... https://t.co/eH2LBjwa6r"
12240,@leaotf use sua libido sexual em prol da humanidade!! campanha um beijo = um mosquito  portador do zika vírus morto
12241,"Queridos, é verdade que o vírus da zika tbm foi encontrado em outro mosquito, além do Aedes? @oatila @Pirulla25 (não confio + em jornalismo)"
12242,Cuidado com o Zico Zika   '@NAMJOONRAINHA: cuidado com o mosquito zico ele transmite block b'
12243,se for zika eu vou ficar muito puta de ter pego pelo mosquito e nao pelo beijo
12244,"Margaret Chan:Mais d metade da população mundial vive em áreas onde os mosquitos Aedes aegypti,o principal vetor d zika,dengue e chikungunya"
12245,"@lfsegundo @felipexilef @17Whitw porra kkkkkkkk por isso não pega zica mais, os mosquitos não gosta da fumaça"
12246,"Acordei com uma picada enoooooorme de mosquito na minha bunda, espero q não seja a zica"
12247,"Gostei de um vídeo @YouTube de @nandaplay https://t.co/xG7WWX9v60 Kogama: O MOSQUITO, O VILÃO! VAMOS COMBATER A DENGUE, ZICA E"
12248,"Kogama: O MOSQUITO, O VILÃO! VAMOS COMBATER A DENGUE, ZICA E CHIKUNGUNYA!: https://t.co/VIJKx8tIKu via @YouTube"
12249,"To de boa deitada no sofá com Sabrina, aí ela vira 'Lu um mosquito, corre que é zika' kkkkkkkkkkkk"
12250,@liviastorani retiro a parte dos mosquitos ja que agora estou com zica
12251,O mosquito Aedes tambem transmite Zika. Cuide da sua casa e elimine agua parada. Um mosquito nao… https://t.co/XYkNiBswfW
12252,todo mosquito q chega perto de mim ja penso que é os zika virus to ficando neurótico com isso
12253,"No Brasil é assim, Politico é igual o mosquito da Dengue, da uma Zika..."
12254,"Diferença entre dengue, Zika e chikungunya é sutil, diz especialista: Agencia Brasil / O mosquito Aedes aegypt... https://t.co/51OLdXO0Vw"
12255,Legal o @carlinhosbrown fazer referencia ao mosquito da Zica em seu corpo durante o #thevoicekids
12256,"'Falaram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem é que vai beijar um mosquito?' COGO, Luigi"
12257,Mexeu com mosquito vai voltar com a febre ardendo vai  Chincungunha deixa o corpo ardendo  Zika virus a perna doendo
12258,"Gostei de um vídeo @YouTube de @nandaplay https://t.co/VIJKx8LjC2 Kogama: O MOSQUITO, O VILÃO! VAMOS COMBATER A DENGUE, ZICA E"
12259,imagina eu e voce nas cachoeiras  e cavernas acampando só nós dois na natureza tem uns mosquito é zika não encosta não me beij
12260,O mosquito que iniciou o surto de zika no Brasil estava erradicado 50 anos atrás. https://t.co/oenHC6h11a https://t.co/l1rr7975jI
12261,"ZIKA | OMS divulga nota sobre relação entre microcefalia, vacina, larvicida e mosquito transgênico... https://t.co/ndWpcWXmz4"
12262,"Atividade Aedes Aegypti - Mosquito da Dengue, Zika e Chikungunya - Educação Infantil - Aluno On https://t.co/RnPZ8GKWYT"
12263,"O mosquito do Zika me mordeu, vou morrer?"
12264,"Tá cheio de mosquito aqui, e é do listrado, aquele que dá zika, esse shopping é uma merda mesmo"
12265,meu irmao ligou chorando pro meu pai falando q matou o mosquito do zika mas ligou chorando ne
12266,@2RCrvg @thauanemarques3 não ! e p espantar mosquito msm p n pegar zika
12267,"cheio de mosquito da dengue na puc, não demora pra nois tudo pegar zika vírus"
12268,Agora eu quero um FPS brasileiro tipo Doom onde você enfrenta vários mosquitos da dengue zica chimgumgumgn com uma submetralhadora
12269,@wishpayno como algo de algm* VC NÃO TEM ZIKA NÃO NEH? bebo algo da pessoa* VC NÃO TEM ZIKA NÃO NEH? vejo um mosquito* SAI DAQUI ZIKA
12270,"Acabei de ver uma reportagem que o Zika vírus pode ser transmitido pelo beijo, mas quem vai ser o doido de beijar o mosquito meu Deus! 😂😂"
12271,deus me libre num posso ve um mosquito ja penso q eh o zika
12272,"@RenanBBB16Real @RenanMutirao Ana Paula protegeu o Renan, matando os mosquito Zika VIRUS, essa mulher é boa de mais gente... 👏👏👏"
12273,"Gostei de um vídeo @YouTube de @nandaplay https://t.co/baivweDBgn Kogama: O MOSQUITO, O VILÃO! VAMOS COMBATER A DENGUE, ZIKA E"
12274,Quando você mata um mosquito também se sente a salvadora da humanidade por ter menos um zica no mundo?
12275,"Mosquito não se limita em colocar a vida de seres humanos em risco com a dengue, febre chikungunya e zika;... https://t.co/s3SmyFzQh2"
12276,tem um mosquito desgraçado me perseguindo no meu quarto saiiiii zika virus chikungunya dengue
12277,tanto nome pra por na doença e eles colocam de zika virus o mosquito eh funkeiro?¿?
12278,Corinthians com esse uniforme parece que tá homenageando o mosquito da Zica.
12279,"Se o.mosquito Aedes Aegypti passar pelo CT do Corinthians e picar algum jogador, o mosquito pega o zica vírus"
12280,gente ela acha mesmo que eu vou entrar naquele ninho de mosquito??? que horror so se eu quiser pegar zika https://t.co/N5OoPsKl4y
12281,"Ação de combate mosquito transmissor da dengue, chikungunya e zica vírus é realizada na sede do DE... https://t.co/DceINBywB8"
12282,"Zika: nada indica que vacinas, inseticidas ou mosquitos transgênicos causem microcefalia, diz OMS https://t.co/xhdGvRdcmw"
12283,"'Moça, o mosquito me picou na bunda, e ele tinha o trocinho branco, será que era o Zika???'"
12284,"Faço minha parte na campanha contra o zika virus, mato uns 300 mosquitos por dia"
12285,"O mosquito é zika, mas nóis é mais"
12286,"Tem uns mosquito me picando já não sei se é   Pernilongo,dengue, zica ou o tal do Chico Cunha"
12287,O uniforme do Galinha igual ao mosquito da Zika.
12288,impossível ler zika virus sem imaginar os mosquitos vestidos de zika e não dar umas esboçadas de sorriso
12289,Carai ff vou pegar um zika vírus na casa da @LuccheseNanda altos mosquito me comendo aqui tio
12290,@onviubess to com tanta picada de mosquito q eu devo ter pegado zika
12291,@Beto_Morumbi o mosquito do zica vírus pra picar o Ataide pra ele sumir do tricolor por um longo período .
12292,BBC Brasil - 9 maneiras de se proteger contra o zika https://t.co/EA3kNVppkz
12293,Meu irmão viu um mosquito e gritou ' Zika vírus Ana Júlia '
12294,"Agora só falta eu pegar zika, depois dessas 20 picadas de mosquito Q eu devo tá"
12295,"na casa da Luisa quando tava começando os mosquito a atacar,foi tipo MATA Q É ZIKA ai daq a pouco vem uma la do fundao ACHO Q MATEI UM ZIKAO"
12296,"Atividade Aedes Aegypti - Mosquito da Dengue, Zika e Chikungunya - Educação Infantil - Aluno On https://t.co/uRrZFr8yXO"
12297,to eu digitando no zap quando de repente mato o mosquito(??) bem feito sai pra la zika
12298,"Minha mãe e meu irmão com zica, eita mosquito do inferno"
12299,ai tinha um mosquito voando aqui fiquei com medo de ser zika
12300,"Repelente Caseiro receita contra o mosquito da dengue e zika, gastando pouco https://t.co/cHWjJVMo8X"
12301,Zika sobrevive em mosquitos que se reproduzem em água suja. https://t.co/k9sYhYM62s https://t.co/NJ1aEEZimV
12302,"A Dengue, o Zika e a Chikungunya são doenças cuja transmissão acontece pela picada do mosquito Aedes Aegypti... https://t.co/F3aqZPFxMN"
12303,Tô fazendo um trabalho sobre o mosquito zika
12304,"esse mosquito aedes aegypti picou meu Cruzeiro, ele ta de zika"
12305,"Com o tanto de mosquito que tem aqui vou pegar zika, dengue, Chico Cunha e até aids."
12306,#ASSISTA - Peppa Pig contra o Mosquito Zika e aprenda como se livrar desta praga!https://t.co/JVtstSZi4E
12307,"Tenho que manda o fumace passa no meu quarto, pa acaba com esses mosquito, vai que tem zika"
12308,Social dos mosquitos da zica
12309,Hoje os mosquitos aqui na sala estão só no 'com licença Sr permita-me servir um apetitoso zika vírus'
12310,status: sendo sugado por mosquitos que não é da zika como eu sei disso? Não faço a menor ideia... Intuitivo
12311,"Muito mosquito, passei mt repelente, vai que eu acordo c Zika 😂"
12312,"Man, lembrando aq da infância zika q tive (nn é do mosquito eim)"
12313,MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA https://t.co/JpHIg73sYD
12314,Vou pegar Zica tem muito mosquito aqui #askbelieber
12315,"Mata inseto elétrico ClearPassage.  Elimina o mosquito da dengue, zika, chikungunya, malária… https://t.co/hcPdT0tN0j"
12316,"ainda tenho esperança que o Alan Mineiro seja picado por um mosquito suspeito, contraia zika virus e fique fora do jogo de hoje"
12317,"4.032 casos de gestantes com Zika desses números, 23 bebês tiveram microcefalia E O GOVERNO QUER CULPAR O MOSQUITO?"
12318,"Agentes de combate ao mosquito da #Dengue,#Chikungunya e #Zika e Nebulização estão no São Miguel.  Colabore,elimine diariamente estes berços"
12319,"Depois o Deus manda um terremoto, tsunami, mosquitos da zika e não sabem o porque. https://t.co/Y6DPSsWP2N"
12320,Um mosquito não pode ser mais forte do que toda a população. Ajude a aliminar o #aedes....essa luta é de todos nós! https://t.co/iqBZlTnOzL
12321,"eu disse q sonhei q n tinha mosquito na praia, pq eu ficava me batendo mas n tinha nada, aí ela disse q eh pq to com medo de ta cm zika"
12322,Boletim médico: não escapei do mosquito. Tô com dengue ou zika.
12323,Ultimamente eu to numa zica pior que o mosquito!
12324,Tem um mosquito chato me picando... Sai pra lá o Zika Vírus.
12325,@rodrigoplss sim eh transmitida pelo mosquito da dengue junto c zika
12326,Este tipo de vizinho é pior do que a dengue e a zika juntos. Vamos nos proteger para não sermos infectados!  #FORAPT https://t.co/hwqXkKOrHB
12327,Vo  fritar o ovo do mosquito da dengue pra ver se eu fico zika 😎
12328,Já ouviu ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ de Sylvio D'avila na #SoundCloud? #np https://t.co/LZ0l3tai1Q
12329,"Falam que Zika é transmitido por beijo, mais quem é o doido que vai beijar o mosquito..."
12330,"@priscilacoellen essa historia de Zika virus parece q fizeram o mosquito de boi de piranha, a preocupaçao é valida agora a panico não"
12331,"Vamos evitar a proliferação da dengue, zika vírus e chikungunya. Todos juntos podemos proteger o Amazonas https://t.co/t9zSRBxmH8"
12332,"Contra zika, uniforme olímpico da Coreia do Sul vem com repelente de mosquito https://t.co/JEoEy1qXoa https://t.co/FUtV2ZWBAf"
12333,"Avisa pra eles que o frio chegou o mosquito se assutou. Dinheiro jogado fora, unica zika é se eles ganharem 5 medalh https://t.co/vnRKUkoyRk"
12334,"Parece que todo mundo já teve Zika, menos eu. Não sei se fico feliz ou me sinto excluído pelo conselho dos mosquitos picadores de pessoas..."
12335,"@1fb883939fb84c2, veja dicas de como se proteger do mosquito transmissor da Dengue e do Zika: https://t.co/slQd6Zp5ty. #123SaiZika"
12336,Obrigada todos os mosquitos que me deixaram com zika novamente
12337,Galera  nas festas não se desperdiça água. Se não agora o mosquito zika está sofrendo mutação. https://t.co/eoWekkKuCE
12338,"O mosquito transmissor da dengue, zika e chikungunya se reproduz tanto em água limpa quanto em água suja. https://t.co/gvXkUZntWT"
12339,"o mosquito é pequeno mais o estrago é grande , fui no upa geral com zika"
12340,"91 mil casos de zika, 802 mil de dengue e 39 mil de chikungunya. Uma epidemia causadas por um mosquito! https://t.co/kf1a45ftyL"
12341,"Pedi pra pegar o Ryca Vírus, não o Zica Vírus, obrigado mosquito. rsrsrs"
12342,Ian nao vai vir mais pro brasil por causa do zika virus kkjkk quer me fude esse mosquito
12343,"Ahhhh, ian cancelou a participação aqui no Brasil por causa do zika vírus. É ou não pra ter ódio desse mosquito? 💔💔💔"
12344,Mas se bem que se eu fosse um mosquito do zika eu te picaria
12345,"A DENGUE, a ZICA pode ser transmitida pelo beijo, IMPOSSÍVEL, quem é que CONSEGUE beijar um mosquito???"
12346,Olímpiadas na era Dilma Rousseff! Uniformes à prova do vírus da zika! Uniformes com repelente de mosquitos para... https://t.co/UXHAbyjI4H
12347,"Vamos juntar os fandoms e jogar o mosquito da zika no Ian, pass it on"
12348,'Surto do zika' e óbvio que eu tinha que pegar dnv pq os mosquitos me amam
12349,decepcionada cm o Ian nossinhor só por causa de zica vc num vai vir Já foi mordido por td qnt eh trem e agr tá cm medo de mosquito??
12350,Com coisas piores no mundo e Ian se preocupando em ser picado por um mosquito e pegar Zica Virus  Sorry somerholics n sera dessa vez !!
12351,"@iansomerhalder existe um troço chamado repelente, e tipo, tu nao vai ficar no lixao rodeado de mosquito. Relaxa. Moro aqui e nao tenho zika"
12352,qualquer mosquito que pousa em mim eu ja acho que vou pegar zika chicungunha to doido
12353,"Ian, eu sou magra mas não sou um mosquito, não passo zika, pode me abraçar e continuar totalmente salvável não faz isso cmg"
12354,"Contra zika, uniforme olímpico da Coreia do Sul vem com repelente de mosquito https://t.co/bWD0l7NrLO https://t.co/VyE2N1aPxy"
12355,"Que medo de pegar dengue/zika/chikungunya. Cada mosquito/dor, um medo."
