,tweets_VB
99,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/nyVmJsqYPU https://t.co/fQPOOcLVJK"
157,¿Y a qué hora hacen el remix de la canción del Chinkongunya ft. el mosquito del Zika?
338,Voy a aprovechar el temita del dengue y el zika para ir chirleando culos por la vida al grito de 'TENES UN MOSQUITO'.
295,Ya me pico el zica y todos los mosquitos habidos por haber
6,"Advierten a los turistas que viajen a #Brasil por la proliferación del virus zika, que es transmitido por mosquitos."
203,follow  frederick_x5 Deteniendo el virus del Zika: el caso de los mosquitos mutantes: un creciente número de cie...  follow  frederick_x5
110,Llego a Arica escapando del temporal en stgo y ahora encuentran al mosquito del Zika
91,Llega a Chile mosquito que transmite el zika https://t.co/HwSqpZxdST
311,"¿Viajás a los JJOO #Río2016? Evitá las picaduras de mosquitos que transmiten #dengue, #zika y #chikungunya. https://t.co/dJf81AG9nl"
342,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y zika. https://t.co/lzHAWZlz0I https://t.co/60Z94bcbkv"
272,"Si a una embarazada navarra le pica el mosquito del Zika, el hijo le sale normal."
206,"Ejemplo a seguir.   //  Encontrar al mosquito del zika, casa por casa https://t.co/yK126LC72y vía @el_pais"
276,Protege a tu familia! Asegura usar repelentes con DEET para mayor protección contra los mosquitos que portan el Zik… https://t.co/1ON0X1eMvI
66,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/rHHpF37VDr #Zika https://t.co/SndQv4Chxx
200,"Vamos a protegernos contra el Zika, usen ropa de manga larga a pesar del calor infernal que hay - Gobierno Federal-"
87,"Voy a empezar a criar mosquitos con dengue, zika y chikungunya. Me tienen harto los vecinos con la cumbia y la mordidita y toda esa mierda."
357,"Se a confirmado el primer caso de zika por transmisión sexual, se recomienda no coger con mosquitos."
