,tweets_VBP
111,"Casa a casa fumigamos para eliminar el mosquito del Zika, Dengue y Chikungunya. #TodoPoTuCalidadDeVida. https://t.co/gtxFsXgIFw"
226,Yo me veo una pica de mosquito y ya rápido pienso que es el zika
160,¿Y a qué hora hacen el remix de la canción del Chinkongunya ft. el mosquito del Zika?
157,Don't let mosquitos ruin your #vacation #travel #ZikaVirus #DestinationsByParrotte https://t.co/7jnmMKwHnK
40,"Exhortan a participar en el combate del mosquito transmisor del Dengue, Chikungunya y Zika https://t.co/pykEyb5uL3 https://t.co/lpcVqrHd0O"
156,"Ya me picó un mosquito, voy tramitando mi crónica de tener zika en @RevistaPaco"
7,"Advierten a turistas que viajen a Brasil por el virus zika, del mosquito aedes https://t.co/U0q1k2hNxI"
351,chicos me picó un mosquito en el brazo y ahora parece que tengo un tUMOR zika ya te siento
9,Vacunarán a mosquito del #Zika para evitar que propague la enfermedad https://t.co/yZBeljA1Nf https://t.co/yHfqG7VJQA
21,Proteja a su familia de los mosquitos y Zika este verano! Empieze eliminando el agua estancada en su casa! https://t.co/EHJPTAnO5t
319,Únete a @ReproRights en su petición para proteger los #derechosreproductivos para enfrentar el #Zika https://t.co/lufpSZm5AN #Las17
209,"Ejemplo a seguir.   //  Encontrar al mosquito del zika, casa por casa https://t.co/yK126LC72y vía @el_pais"
348,"'Si a Gasol le pica un mosquito con Zika solo estaría 3 días con gripe', dice el jefe de epidemiología del Hospital Clínic de Barcelona"
313,"¿Va a viajar al exterior con sus niños este verano? Antes de viajar, sepa cómo protegerlos del #Zika:... https://t.co/daa8EI7pcW"
366,"Se a confirmado el primer caso de zika por transmisión sexual, se recomienda no coger con mosquitos. Ja"
128,Y a las 6pm se ponen los mosquitos intensos y supuestamente hay alerta por el zika @MINSA_Panama @CastaliaPascual @tvnnoticias
